epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,151.218,1.45074,1.65371,1.04514,0.43924,0.40069,0.38222,0.22513,1.34828,1.11889,1.00436,0.00997222,0.00332407,0.00997222,0.00332407,0.00997222,0.00332407,0.00997222,0.00332407
2,276.787,1.38873,1.14409,1.00145,0.47655,0.40232,0.4076,0.24027,1.34695,1.13145,1.00723,0.0199701,0.00665668,0.0199701,0.00665668,0.0199701,0.00665668,0.0199701,0.00665668
3,398.703,1.41958,1.13044,1.01096,0.50376,0.4042,0.4074,0.23664,1.38091,1.15922,1.02669,0.0299592,0.0099864,0.0299592,0.0099864,0.0299592,0.0099864,0.0299592,0.0099864
4,516.599,1.4103,1.10564,1.01426,0.5355,0.41021,0.4278,0.25181,1.3735,1.0923,1.01582,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,634.516,1.3875,1.05576,1.00689,0.53199,0.43067,0.44733,0.26497,1.34003,1.02964,1.00517,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,752.413,1.37332,1.02343,0.99586,0.53739,0.45429,0.4515,0.26948,1.33239,1.01924,1.00828,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,869.915,1.34821,1.00268,0.99202,0.54719,0.45798,0.46398,0.27735,1.32055,0.99655,1.00326,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,987.491,1.34547,0.98346,0.98654,0.55693,0.46471,0.47577,0.28313,1.31511,1.00077,0.99801,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1106.27,1.33374,0.96775,0.98302,0.56208,0.4614,0.4782,0.28359,1.31766,0.99016,0.99982,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1223.74,1.31694,0.95263,0.98295,0.56653,0.46598,0.48043,0.28744,1.31393,0.98018,0.99548,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1341.15,1.31233,0.93824,0.97581,0.56351,0.47162,0.4918,0.29648,1.29963,0.96122,0.99494,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1458.69,1.30293,0.92604,0.97322,0.58147,0.46202,0.48804,0.29386,1.29798,0.96145,0.99178,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1585.7,1.29758,0.91872,0.97036,0.59105,0.47751,0.50643,0.30495,1.28467,0.94336,0.98681,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1703.56,1.28758,0.90699,0.96759,0.59273,0.47167,0.50557,0.3044,1.28384,0.94419,0.98414,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1821.63,1.28549,0.89837,0.9648,0.578,0.47996,0.49436,0.30061,1.28414,0.94141,0.98555,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,1938.49,1.26699,0.88587,0.96352,0.58318,0.4866,0.51016,0.3088,1.27706,0.93513,0.98367,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
