epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,169.768,1.68918,1.6094,1.0422,0.46381,0.377,0.36892,0.21869,1.50326,1.10714,1.00374,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,316.125,1.59723,1.14724,1.00418,0.48378,0.40446,0.40786,0.2383,1.50957,1.05934,1.00548,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131
3,457.089,1.63209,1.14812,1.01172,0.49549,0.41933,0.41854,0.24635,1.51165,1.07877,1.00604,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102
4,593.135,1.62295,1.13441,1.01696,0.51459,0.40539,0.41506,0.24374,1.52079,1.07174,1.00928,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,730.878,1.59056,1.08646,1.00814,0.51456,0.43723,0.43907,0.26091,1.48388,1.02785,1.00656,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,863.242,1.56307,1.06144,1.00077,0.52885,0.44053,0.44801,0.26667,1.46233,1.01151,0.99986,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,997.376,1.5423,1.03578,0.99596,0.53978,0.43678,0.45387,0.27397,1.46381,0.99286,0.99699,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1132.2,1.53153,1.01593,0.992,0.54469,0.45527,0.46874,0.27917,1.47055,0.97886,0.9927,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1264.78,1.51358,1.00156,0.98882,0.55004,0.46159,0.4748,0.28547,1.43787,0.97306,0.989,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1400.05,1.50103,0.97952,0.98326,0.55789,0.45631,0.47469,0.28458,1.43819,0.96599,0.99051,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1532.24,1.48976,0.96709,0.97886,0.56697,0.47106,0.49128,0.29527,1.42892,0.95223,0.98563,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1664.55,1.47662,0.95747,0.9784,0.57021,0.46829,0.49021,0.29514,1.42244,0.95757,0.98303,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1836.14,1.47416,0.94945,0.97359,0.56839,0.48179,0.49623,0.29883,1.4305,0.9415,0.98279,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
