epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,151.634,1.42795,1.59025,1.0449,0.465,0.37988,0.37661,0.22212,1.29671,1.09365,1.00455,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,284.215,1.36741,1.14752,1.00498,0.47762,0.41967,0.41896,0.24336,1.32142,1.05678,1.00456,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131
3,411.609,1.39555,1.14646,1.01231,0.49139,0.41608,0.41639,0.24662,1.30858,1.08611,1.01105,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102
4,538.992,1.39888,1.12458,1.02043,0.52891,0.40759,0.43147,0.25688,1.29857,1.03905,1.00667,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,664.231,1.37108,1.08321,1.00925,0.52624,0.42804,0.43825,0.25676,1.30796,1.02699,1.00681,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,789.252,1.35577,1.05607,1.00243,0.5298,0.44438,0.45386,0.27004,1.27481,1.01066,0.998,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,914.687,1.33648,1.02737,0.99663,0.5339,0.44384,0.45768,0.27549,1.27324,0.98916,0.99522,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1039.78,1.33027,1.00952,0.9942,0.56302,0.44614,0.46335,0.27672,1.28866,0.98282,0.9981,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1165.62,1.3165,0.99431,0.98973,0.56506,0.44632,0.47135,0.28279,1.26675,0.96663,0.99106,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1291.45,1.30845,0.97073,0.98467,0.55067,0.46516,0.47969,0.2883,1.25605,0.96895,0.98947,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
