epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.779,3.42448,3.61854,2.95429,0.23011,0.09338,0.06887,0.03061,2.34525,2.14986,1.87277,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,306.592,2.17119,2.15887,1.62199,0.21415,0.19321,0.13879,0.06778,1.90828,1.69114,1.45922,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131
3,441.486,1.91388,1.79682,1.39075,0.27969,0.24356,0.20701,0.1081,1.71828,1.49205,1.3198,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102
4,573.454,1.74909,1.55889,1.29183,0.33487,0.29106,0.25915,0.14011,1.57924,1.33396,1.22844,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,705.088,1.63737,1.40736,1.22388,0.38803,0.32435,0.30278,0.16852,1.50377,1.24914,1.18311,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,834.754,1.57154,1.31997,1.1858,0.41572,0.34099,0.32724,0.18457,1.45884,1.19756,1.16163,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,967.797,1.52382,1.26048,1.16081,0.42886,0.35364,0.34067,0.19214,1.43559,1.1715,1.143,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1098.61,1.4964,1.21943,1.14525,0.45155,0.37361,0.36531,0.20801,1.4216,1.11677,1.12831,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1228.81,1.47364,1.18361,1.13354,0.46307,0.39339,0.38699,0.22184,1.38565,1.09729,1.10825,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1359.14,1.45922,1.1587,1.11348,0.47941,0.39817,0.40119,0.23318,1.38639,1.09006,1.09757,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
