epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,164.785,3.47607,3.65375,3.00453,0.4118,0.09627,0.06715,0.02876,2.44575,2.20512,1.91293,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,301.18,2.20241,2.16549,1.64999,0.25555,0.17919,0.1421,0.06862,1.93027,1.72332,1.44383,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131
3,431.937,1.92308,1.78508,1.40224,0.26956,0.24773,0.19967,0.10312,1.74202,1.52524,1.31933,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102
4,559.996,1.75202,1.55179,1.29927,0.3497,0.28755,0.25663,0.13847,1.57389,1.32082,1.23244,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,687.518,1.63962,1.40229,1.23188,0.39776,0.31661,0.2952,0.16352,1.51146,1.28083,1.19768,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,815.315,1.57458,1.31622,1.19343,0.41688,0.33634,0.32374,0.18014,1.47912,1.21012,1.16929,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,943.339,1.52505,1.2555,1.16835,0.4311,0.36908,0.3508,0.19857,1.42464,1.15441,1.14896,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1071.02,1.49751,1.21422,1.15229,0.45925,0.38637,0.37498,0.21308,1.40759,1.11247,1.13177,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1200.51,1.4709,1.17712,1.1399,0.47009,0.39431,0.38759,0.22002,1.38783,1.10184,1.11901,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1328.62,1.44737,1.14286,1.12189,0.49232,0.40096,0.40947,0.23534,1.36202,1.07079,1.10385,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1456.77,1.43395,1.12652,1.11091,0.49553,0.40885,0.41366,0.23762,1.36784,1.06095,1.1027,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
