epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,152.136,3.56746,3.81523,3.07215,0.42268,0.0572,0.04351,0.01726,2.57239,2.4464,2.08287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,286.607,2.23879,2.21927,1.67223,0.21927,0.19078,0.13889,0.06645,1.91348,1.75864,1.44057,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131,0.0199839,0.00666131
3,415.977,1.93021,1.80507,1.40214,0.29595,0.23728,0.20043,0.10089,1.81415,1.53911,1.34688,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102,0.0299731,0.00999102
4,542.67,1.75876,1.5558,1.2989,0.35125,0.29132,0.25925,0.13971,1.5959,1.33241,1.23349,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,670.421,1.64085,1.40649,1.22749,0.39002,0.30898,0.28848,0.15842,1.53104,1.29296,1.19581,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,796.98,1.57694,1.32012,1.19078,0.42401,0.34056,0.3264,0.18254,1.46666,1.20236,1.16338,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,924.722,1.52721,1.25851,1.16559,0.43137,0.36219,0.34817,0.19694,1.4322,1.15951,1.14931,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1050.59,1.49817,1.21628,1.14912,0.46926,0.37508,0.36604,0.20914,1.40715,1.12018,1.13027,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1177.13,1.4731,1.17902,1.13814,0.48012,0.38655,0.38501,0.21823,1.38571,1.11128,1.11843,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1304.14,1.44896,1.14316,1.11794,0.47227,0.40152,0.40129,0.23022,1.37286,1.07425,1.10303,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1430.67,1.43631,1.12905,1.10686,0.50823,0.40336,0.40704,0.23313,1.36955,1.06726,1.10051,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1556.87,1.428,1.11765,1.10075,0.51388,0.40513,0.41503,0.24142,1.35692,1.06361,1.08706,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1682.92,1.42443,1.10475,1.08721,0.51182,0.41897,0.42324,0.24472,1.35314,1.05565,1.07737,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1809.69,1.40763,1.08919,1.08225,0.51509,0.42022,0.42789,0.24827,1.34726,1.04021,1.07173,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1936.03,1.39607,1.06571,1.06914,0.51614,0.43503,0.44238,0.25899,1.33132,1.01743,1.06596,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
