epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.0977,1.68872,1.78641,1.00008,0.32737,0.25369,0.23087,0.12998,1.53266,1.19079,0.92917,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,125.229,1.64019,1.25268,0.94464,0.37331,0.29085,0.27506,0.15528,1.51543,1.14495,0.92198,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,171.786,1.67711,1.25441,0.94697,0.3494,0.2855,0.26166,0.14775,1.58672,1.22681,0.93019,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,216.367,1.66809,1.23185,0.94845,0.3589,0.28375,0.26546,0.14607,1.5698,1.16817,0.93362,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,263.81,1.62574,1.19175,0.94031,0.38282,0.30691,0.2909,0.16612,1.51235,1.10818,0.91887,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,307.887,1.60457,1.1561,0.9315,0.40466,0.30922,0.29862,0.1704,1.50258,1.11115,0.91619,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,352.595,1.57921,1.12618,0.92727,0.41999,0.31648,0.30817,0.17384,1.47589,1.08361,0.91741,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,397.067,1.55731,1.10465,0.92117,0.42477,0.33514,0.32539,0.18418,1.46534,1.06287,0.90948,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,441.752,1.53465,1.08457,0.91679,0.44111,0.3252,0.33036,0.18987,1.45129,1.04937,0.9059,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,491.389,1.52872,1.07123,0.91126,0.42534,0.33878,0.33199,0.19018,1.44224,1.04296,0.90341,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,537.819,1.50349,1.04468,0.90974,0.46201,0.33076,0.34064,0.1958,1.42595,1.02472,0.90309,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,583.218,1.49604,1.04188,0.90668,0.44598,0.34269,0.3389,0.19276,1.43664,1.02237,0.90098,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,628.105,1.48373,1.02197,0.90581,0.4589,0.33985,0.34322,0.19633,1.41573,1.01278,0.89788,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,673.708,1.47075,1.0174,0.90068,0.45343,0.34647,0.3491,0.20106,1.40618,0.99777,0.8947,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,719.201,1.482,1.01113,0.89987,0.46563,0.36138,0.36398,0.21103,1.39222,0.98696,0.89503,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,764.502,1.47058,1.00074,0.90019,0.47731,0.35003,0.35825,0.20667,1.401,0.99501,0.89502,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,809.811,1.45884,0.9896,0.8959,0.45952,0.36521,0.36547,0.2113,1.38942,0.98248,0.89595,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,859.341,1.4556,0.98265,0.89576,0.48103,0.3522,0.36187,0.20947,1.39306,0.98542,0.89403,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,904.068,1.43664,0.9714,0.8944,0.46558,0.35921,0.36097,0.21002,1.38796,0.97846,0.89165,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,952.06,1.43235,0.96486,0.89195,0.47322,0.37307,0.37229,0.21753,1.37532,0.96359,0.88788,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,996.874,1.42863,0.95768,0.88978,0.47602,0.36968,0.37274,0.21568,1.37783,0.96495,0.88831,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1040.95,1.42037,0.95237,0.8886,0.49135,0.36591,0.37416,0.21956,1.36678,0.95884,0.88676,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1084.88,1.41685,0.94574,0.88975,0.49608,0.36885,0.38313,0.22251,1.36418,0.95656,0.88681,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1131.88,1.40976,0.93699,0.887,0.4924,0.37539,0.38034,0.2224,1.36437,0.94831,0.88585,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1175.62,1.40507,0.93173,0.88574,0.49166,0.37955,0.38362,0.22275,1.35931,0.94335,0.88318,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1219.22,1.4111,0.93402,0.88667,0.49384,0.37144,0.3821,0.22398,1.36443,0.94478,0.88325,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1264.98,1.4015,0.92655,0.8821,0.49427,0.38268,0.38851,0.22602,1.35547,0.93654,0.88349,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1310.37,1.39937,0.92022,0.88124,0.50142,0.38353,0.38799,0.22672,1.35253,0.93704,0.88324,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1354.87,1.39256,0.91627,0.88042,0.48443,0.37797,0.38551,0.22531,1.34956,0.93416,0.88323,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1401.27,1.39416,0.91058,0.88029,0.49828,0.37761,0.38825,0.22703,1.34914,0.93934,0.88286,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1445.57,1.38284,0.90428,0.88024,0.49015,0.37881,0.38555,0.22501,1.34425,0.93685,0.8817,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1492.21,1.38596,0.89863,0.8778,0.50491,0.37247,0.3908,0.22824,1.34736,0.92648,0.88047,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1537.58,1.38124,0.89793,0.87895,0.50959,0.37777,0.39516,0.23215,1.34504,0.92337,0.88045,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1583.09,1.37702,0.89595,0.87691,0.51467,0.38402,0.39909,0.23489,1.33962,0.91742,0.88037,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1628.62,1.37223,0.8873,0.87615,0.51541,0.38205,0.39328,0.23104,1.34602,0.9262,0.88095,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1672.86,1.3653,0.87983,0.87679,0.49378,0.3883,0.39733,0.23326,1.33528,0.91978,0.87864,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1719.91,1.36275,0.87783,0.87516,0.49969,0.38728,0.395,0.23125,1.34158,0.92434,0.87889,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1764.77,1.36559,0.87683,0.87418,0.52349,0.38844,0.4008,0.23504,1.33706,0.91412,0.87867,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1809.98,1.35836,0.86619,0.87215,0.50574,0.39037,0.39965,0.23625,1.33368,0.9153,0.87918,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1854.74,1.35472,0.86656,0.87268,0.50606,0.38664,0.39892,0.2344,1.33066,0.91726,0.87909,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1899.01,1.34543,0.85702,0.87228,0.51218,0.38506,0.39855,0.23457,1.32887,0.91413,0.87797,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1942.48,1.34679,0.85886,0.87275,0.50867,0.38563,0.40066,0.23537,1.33298,0.9106,0.88049,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1985.27,1.35245,0.85933,0.87055,0.50767,0.38514,0.39788,0.23388,1.33171,0.91293,0.88008,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2028.67,1.34549,0.85082,0.87007,0.50757,0.37835,0.39312,0.23123,1.3297,0.91422,0.87744,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2072.25,1.33881,0.84479,0.86937,0.52828,0.38297,0.40033,0.23406,1.33097,0.91612,0.87683,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2115.86,1.34254,0.8438,0.87014,0.51053,0.3875,0.39788,0.23441,1.32453,0.91334,0.87724,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2160.38,1.33393,0.84031,0.86933,0.51597,0.38882,0.40369,0.23778,1.32362,0.90983,0.87575,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2206.31,1.33533,0.84022,0.86819,0.52023,0.39025,0.40559,0.23924,1.32182,0.90327,0.87598,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2250.69,1.32967,0.83325,0.86659,0.51395,0.38644,0.40008,0.23743,1.3231,0.90916,0.87672,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2294.52,1.32236,0.83061,0.86783,0.5188,0.39073,0.40675,0.24032,1.3208,0.9042,0.87687,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2338.49,1.32447,0.82857,0.86599,0.50634,0.39784,0.40268,0.23633,1.32447,0.91067,0.87522,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
